"DecisionID","Decision","Classification","ExplicitIDFiles","KeywordMatchFiles","MatchedTerms","MatchFileCount"
"BD-001","Northern Bypass branch operating hours","KEYWORD_COVERAGE_ONLY","","Applications\POS_REQUIREMENTS.md; Operations\WAREHOUSE_REQUIREMENTS.md; Security\AUTHORIZATION_REQUIREMENTS.md; Security\SETTINGS_REQUIREMENTS.md","business hours; Northern Bypass","4"
"BD-002","Small Pizza price","NO_REQUIREMENTS_COVERAGE","","","","0"
"BD-003","Large Pizza price","NO_REQUIREMENTS_COVERAGE","","","","0"
"BD-004","Zinger Burger price","NO_REQUIREMENTS_COVERAGE","","","","0"
"BD-005","Delivery-charge model","KEYWORD_COVERAGE_ONLY","","Applications\POS_REQUIREMENTS.md; Applications\WEBSITE_REQUIREMENTS.md; Security\SETTINGS_REQUIREMENTS.md","delivery charge; free delivery","3"
"BD-006","Production payment methods","KEYWORD_COVERAGE_ONLY","","Applications\MOBILE_APP_REQUIREMENTS.md; Applications\POS_REQUIREMENTS.md; Applications\RIDER_APP_REQUIREMENTS.md; Applications\WEBSITE_REQUIREMENTS.md; Business\FINANCE_REQUIREMENTS.md; Business\HR_REQUIREMENTS.md; Business\REPORTING_REQUIREMENTS.md; Core\REQUIREMENTS.md; Operations\GOODS_RECEIVING_REQUIREMENTS.md; Operations\INVENTORY_REQUIREMENTS.md; Operations\PURCHASE_REQUIREMENTS.md; Operations\STOCK_TRANSFER_REQUIREMENTS.md; Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md; Operations\SUPPLIER_RETURN_REQUIREMENTS.md; Operations\WAREHOUSE_REQUIREMENTS.md; Security\API_REQUIREMENTS.md; Security\AUDIT_LOG_REQUIREMENTS.md; Security\AUTHENTICATION_REQUIREMENTS.md; Security\PAYMENT_GATEWAY_REQUIREMENTS.md; Security\SECURITY_REQUIREMENTS.md; Security\SETTINGS_REQUIREMENTS.md","Cash on Delivery; COD; JazzCash; EasyPaisa; payment method","21"
"BD-007","Refund and complaint policy","KEYWORD_COVERAGE_ONLY","","AI\AI_PLATFORM_REQUIREMENTS.md; Applications\ADMIN_PANEL_REQUIREMENTS.md; Applications\POS_REQUIREMENTS.md; Business\CRM_REQUIREMENTS.md; Business\FINANCE_REQUIREMENTS.md; Business\REPORTING_REQUIREMENTS.md; Core\REQUIREMENTS.md; Operations\GOODS_RECEIVING_REQUIREMENTS.md; Operations\ORDER_MANAGEMENT_REQUIREMENTS.md; Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md; Operations\SUPPLIER_RETURN_REQUIREMENTS.md; Security\API_REQUIREMENTS.md; Security\AUDIT_LOG_REQUIREMENTS.md; Security\AUTHORIZATION_REQUIREMENTS.md; Security\NOTIFICATION_REQUIREMENTS.md; Security\PAYMENT_GATEWAY_REQUIREMENTS.md; Security\SETTINGS_REQUIREMENTS.md","complaint; refund; replacement; store credit","17"
"BD-008","Order-cancellation policy","KEYWORD_COVERAGE_ONLY","","Applications\MOBILE_APP_REQUIREMENTS.md; Applications\POS_REQUIREMENTS.md; Core\REQUIREMENTS.md","cancel order; order cancellation","3"
"BD-009","Peak-hour order handling","KEYWORD_COVERAGE_ONLY","","Business\REPORTING_REQUIREMENTS.md; Operations\ORDER_MANAGEMENT_REQUIREMENTS.md","peak hour","2"
"BD-010","Multi-branch order routing","KEYWORD_COVERAGE_ONLY","","AI\AI_PLATFORM_REQUIREMENTS.md; Applications\ADMIN_PANEL_REQUIREMENTS.md; Applications\MOBILE_APP_REQUIREMENTS.md; Applications\WEBSITE_REQUIREMENTS.md; Business\FINANCE_REQUIREMENTS.md; Business\HR_REQUIREMENTS.md; Business\REPORTING_REQUIREMENTS.md; Operations\INVENTORY_REQUIREMENTS.md; Operations\ORDER_MANAGEMENT_REQUIREMENTS.md; Operations\STOCK_TRANSFER_REQUIREMENTS.md; Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md; Operations\SUPPLIER_RETURN_REQUIREMENTS.md; Operations\WAREHOUSE_REQUIREMENTS.md; Security\AUTHORIZATION_REQUIREMENTS.md; Security\BACKUP_DISASTER_RECOVERY_REQUIREMENTS.md; Security\SETTINGS_REQUIREMENTS.md","multi-branch; delivery zone; nearest branch; branch assignment","16"
"BD-011","Discount and loyalty rules","KEYWORD_COVERAGE_ONLY","","AI\AI_PLATFORM_REQUIREMENTS.md; Applications\ADMIN_PANEL_REQUIREMENTS.md; Applications\MOBILE_APP_REQUIREMENTS.md; Applications\POS_REQUIREMENTS.md; Applications\RIDER_APP_REQUIREMENTS.md; Applications\WEBSITE_REQUIREMENTS.md; Business\CRM_REQUIREMENTS.md; Business\REPORTING_REQUIREMENTS.md; Core\REQUIREMENTS.md; Operations\ORDER_MANAGEMENT_REQUIREMENTS.md; Operations\PURCHASE_REQUIREMENTS.md; Security\API_REQUIREMENTS.md; Security\NOTIFICATION_REQUIREMENTS.md; Security\PAYMENT_GATEWAY_REQUIREMENTS.md; Security\SETTINGS_REQUIREMENTS.md","loyalty; reward; points; discount; redemption","15"
"BD-012","Free-delivery threshold","KEYWORD_COVERAGE_ONLY","","Business\CRM_REQUIREMENTS.md; Business\REPORTING_REQUIREMENTS.md; Security\SETTINGS_REQUIREMENTS.md","average order value; free delivery threshold","3"
