"RelativePath","LineNumber","Pattern","MatchingLine","Context"
"BRANCHES.md","180","\bNOT YET CONFIRMED\b","**Northern Bypass Road:** not yet confirmed — get real hours before this branch goes live in the system.","178: **Royal Orchard (verified):** 10:00 AM – 2:30 AM, daily — confirmed via Google Business listing and Foodies Pakistan (July 2026). This replaces an earlier draft figure of 10:00 AM–11:00 PM, which did not match verified data. || 179:  || 180: **Northern Bypass Road:** not yet confirmed — get real hours before this branch goes live in the system. || 181:  || 182: Each branch can define custom timings if required. || 183: "
"BUSINESS_MODEL.md","100","\bNOT YET CONFIRMED\b","**🟡 Plausible near-term (not yet confirmed as active):**","98: - Drinks, shakes & frappés (a genuine strength per real reviews) || 99:  || 100: **🟡 Plausible near-term (not yet confirmed as active):** || 101:  || 102: - Delivery Charges — model not yet decided, see `DELIVERY_POLICY.md` || 103: - Combo Deals — at least one real bundle observed (~Rs 1,899), full combo lineup unconfirmed"
"BUSINESS_MODEL.md","102","\bNOT YET DECIDED\b","- Delivery Charges — model not yet decided, see `DELIVERY_POLICY.md`","100: **🟡 Plausible near-term (not yet confirmed as active):** || 101:  || 102: - Delivery Charges — model not yet decided, see `DELIVERY_POLICY.md` || 103: - Combo Deals — at least one real bundle observed (~Rs 1,899), full combo lineup unconfirmed || 104: - Corporate Orders — no evidence yet this demand exists; validate before building for it || 105: "
"BUSINESS_RULES.md","22","\bPENDING\b","⚠️ **Status note:** Most rules below are sound *system design* (how orders/branches/inventory should logically work) and don't need Telepizza's input — they're good defaults. A few (marked below) encode specific business decisions — like payment methods — that are still unconfirmed. Treat unmarked rules as reasonable system logic; treat marked ones as pending real decisions.","20: # Purpose || 21:  || 22: ⚠️ **Status note:** Most rules below are sound *system design* (how orders/branches/inventory should logically work) and don't need Telepizza's input — they're good defaults. A few (marked below) encode specific business decisions — like payment methods — that are still unconfirmed. Treat unmarked rules as reasonable system logic; treat marked ones as pending real decisions. || 23:  || 24: This document defines the business rules used across every application within the Telepizza Platform. || 25: "
"BUSINESS_RULES.md","222","\bPENDING\b","- Pending","220: Statuses || 221:  || 222: - Pending || 223: - Paid || 224: - Failed || 225: - Refunded"
"BUSINESS_RULES.md","295","\bPENDING\b","- Pending","293: Kitchen Status || 294:  || 295: - Pending || 296: - Preparing || 297: - Ready || 298: "
"BUSINESS_RULES.md","471","\bUNRESOLVED\b","> **Note:** This section preserves useful business knowledge from a legacy duplicate file. Operating facts, working assumptions, and unresolved decisions are intentionally separated so that assumptions are not misrepresented as final business policy.","469: **Canonical authority:** This section is subordinate to the approved rules defined elsewhere in this document. || 470:  || 471: > **Note:** This section preserves useful business knowledge from a legacy duplicate file. Operating facts, working assumptions, and unresolved decisions are intentionally separated so that assumptions are not misrepresented as final business policy. || 472:  || 473: ### Confirmed Operating Information || 474: "
"BUSINESS_RULES.md","512","\bUNRESOLVED\b","### Unresolved Business Decisions","510: Card payment is deferred from the initial release unless a later approved requirement changes this decision. || 511:  || 512: ### Unresolved Business Decisions || 513:  || 514: The following items remain open and SHALL NOT be treated as finalized policy: || 515: "
"BUSINESS_RULES.md","516","\[\s\]","- [ ] Refund and complaint policy","514: The following items remain open and SHALL NOT be treated as finalized policy: || 515:  || 516: - [ ] Refund and complaint policy || 517: - [ ] Order-cancellation window and cancellation conditions || 518: - [ ] Peak-hour kitchen capacity and order-pause policy || 519: - [ ] Multi-branch order-routing logic"
"BUSINESS_RULES.md","517","\[\s\]","- [ ] Order-cancellation window and cancellation conditions","515:  || 516: - [ ] Refund and complaint policy || 517: - [ ] Order-cancellation window and cancellation conditions || 518: - [ ] Peak-hour kitchen capacity and order-pause policy || 519: - [ ] Multi-branch order-routing logic || 520: - [ ] Discount and loyalty eligibility rules"
"BUSINESS_RULES.md","518","\[\s\]","- [ ] Peak-hour kitchen capacity and order-pause policy","516: - [ ] Refund and complaint policy || 517: - [ ] Order-cancellation window and cancellation conditions || 518: - [ ] Peak-hour kitchen capacity and order-pause policy || 519: - [ ] Multi-branch order-routing logic || 520: - [ ] Discount and loyalty eligibility rules || 521: "
"BUSINESS_RULES.md","519","\[\s\]","- [ ] Multi-branch order-routing logic","517: - [ ] Order-cancellation window and cancellation conditions || 518: - [ ] Peak-hour kitchen capacity and order-pause policy || 519: - [ ] Multi-branch order-routing logic || 520: - [ ] Discount and loyalty eligibility rules || 521:  || 522: ### Required Decision Details"
"BUSINESS_RULES.md","520","\[\s\]","- [ ] Discount and loyalty eligibility rules","518: - [ ] Peak-hour kitchen capacity and order-pause policy || 519: - [ ] Multi-branch order-routing logic || 520: - [ ] Discount and loyalty eligibility rules || 521:  || 522: ### Required Decision Details || 523: "
"BUSINESS_RULES.md","584","\bUNRESOLVED\b","3. Unresolved business decisions","582: 1. Approved business rules || 583: 2. Configurable working assumptions || 584: 3. Unresolved business decisions || 585:  || 586: Unresolved decisions SHALL NOT be silently hard-coded as permanent production behavior. || 587: "
"BUSINESS_RULES.md","586","\bUNRESOLVED\b","Unresolved decisions SHALL NOT be silently hard-coded as permanent production behavior.","584: 3. Unresolved business decisions || 585:  || 586: Unresolved decisions SHALL NOT be silently hard-coded as permanent production behavior. || 587: "
"DELIVERY_POLICY.md","110","\bTBD\b","- **Free delivery above a minimum order threshold** (exact Rs. amount TBD once real average-order-value data exists from the first weeks of live orders) — common promotional pattern, low cost to implement since it's just a checkout rule","108:  || 109: - **Flat-rate delivery fee** within the default radius — simplest to implement, easiest for customers to understand, matches how most Multan competitors (per `COMPETITOR_ANALYSIS.md`) appear to operate || 110: - **Free delivery above a minimum order threshold** (exact Rs. amount TBD once real average-order-value data exists from the first weeks of live orders) — common promotional pattern, low cost to implement since it's just a checkout rule || 111: - **Distance-based pricing deferred** — adds complexity (needs real-time distance calculation) that isn't justified until order volume is established || 112:  || 113: Default delivery radius (working assumption): **~5 km from Royal Orchard branch**, covering the immediate residential/commercial area. Adjust once real delivery-time data from actual orders shows where quality/speed holds up."
"PRICING_STRATEGY.md","50","\bTBD\b","| Small Pizza | *TBD — confirm with Telepizza* | *TBD* |","48: | Product | Base Price | Sale Price | || 49: |----------|-----------:|-----------:| || 50: | Small Pizza | *TBD — confirm with Telepizza* | *TBD* | || 51: | Large Pizza | *TBD — confirm with Telepizza* | *TBD* | || 52: | Zinger Burger | *TBD — confirm with Telepizza* | *TBD* | || 53: | (Reference) Bundle deal | Rs. 1,899 *(one verified data point, may not be current)* | — |"
"PRICING_STRATEGY.md","51","\bTBD\b","| Large Pizza | *TBD — confirm with Telepizza* | *TBD* |","49: |----------|-----------:|-----------:| || 50: | Small Pizza | *TBD — confirm with Telepizza* | *TBD* | || 51: | Large Pizza | *TBD — confirm with Telepizza* | *TBD* | || 52: | Zinger Burger | *TBD — confirm with Telepizza* | *TBD* | || 53: | (Reference) Bundle deal | Rs. 1,899 *(one verified data point, may not be current)* | — | || 54: "
